"longitude" "latitude"
"9" 13.62 37.39
"475" 8.62 44.89
"119" 13.37 43.64
"508" 7.37 45.64
"99" 11.87 43.39
"405" 13.62 42.89
"472" 8.12 44.89
"326" 14.87 40.89
"382" 16.87 41.14
"383" 16.12 41.39
"443" 12.12 46.14
"384" 14.87 41.14
"209" 9.62 45.64
"501" 8.12 45.64
"413" 11.37 44.39
"250" 11.37 46.39
"220" 10.12 45.64
"366" 17.87 40.64
"21" 9.12 39.39
"262" 14.12 37.39
"389" 14.62 41.64
"312" 14.37 41.14
"274" 15.12 37.64
"291" 16.62 38.89
"399" 14.12 42.39
"211" 9.12 45.89
"297" 16.37 39.39
"192" 10.12 45.14
"294" 16.87 39.14
"482" 7.62 44.39
"266" 14.37 37.64
"421" 11.62 44.89
"134" 11.37 43.89
"336" 15.62 41.39
"412" 12.12 44.14
"62" 13.37 41.64
"172" 9.12 44.39
"457" 13.62 46.14
"146" 11.12 42.64
"140" 7.87 43.89
"346" 14.12 41.64
"83" 13.37 42.39
"161" 9.87 44.14
"45" 12.87 41.64
"365" 18.12 40.39
"210" 9.37 45.89
"157" 10.37 43.64
"217" 9.62 45.39
"164" 10.62 43.89
"117" 13.37 43.39
"182" 10.87 45.14
"159" 10.12 44.14
"375" 16.62 40.64
"280" 15.37 38.14
"205" 9.12 45.39
"174" 10.87 44.64
"208" 9.37 45.64
"310" 14.37 40.89
"500" 8.62 45.39
"34" 9.37 40.39
"50" 8.62 39.89
"426" 11.87 45.39
"17" 13.37 38.14
"190" 10.37 44.89
"204" 9.12 45.14
"108" 12.37 43.14
"125" 12.87 43.89
"399.1" 14.12 42.39
"201" 9.62 45.14
"157.1" 10.37 43.64
"166" 10.87 43.89
"438" 12.62 45.89
"319" 15.87 40.64
"165" 11.12 43.89
"257" 14.62 36.89
"415" 12.12 44.39
"279" 15.87 38.14
"175" 10.62 44.64
"86" 12.87 42.39
"126" 12.62 43.89
"46" 12.62 41.89
"425" 11.87 45.14
"324" 14.87 40.64
"56" 8.62 40.64
"466" 8.37 44.39
"100" 11.37 43.39
"260" 15.12 37.14
"241" 9.87 46.14
"360" 17.37 40.39
"87" 13.62 42.64
"74" 12.62 42.64
"490" 7.62 45.14
"8" 12.62 37.89
"244" 11.12 46.14
"429" 12.12 45.64
"406" 13.87 45.64
"459" 13.12 46.14
"233" 8.87 45.89
"432" 12.12 45.39
"516" 8.62 45.89
"498" 8.37 45.39
"225" 10.87 45.39
"290" 16.12 38.64
"428" 11.62 45.64
"77" 12.12 42.39
